branch_code,measurement_period,pass_percentage,new_enrollments,revenue,cleanliness_score,measurement_date
B373,baseline,72.48,25,34771.32,57.66,2023-01-01
B385,baseline,68.83,27,39610.05,65.43,2023-01-01
B011,baseline,67.68,27,46626.24,42.75,2023-01-01
B158,baseline,67.19,20,27052.61,45.88,2023-01-01
B371,baseline,77.33,15,30451.07,54.56,2023-01-01
B214,baseline,70.55,32,46606.03,57.08,2023-01-01
B311,baseline,66.99,13,42248.87,68.23,2023-01-01
B231,baseline,63.9,33,50390.83,61.97,2023-01-01
B353,baseline,73.69,25,59510.23,58.84,2023-01-01
B166,baseline,68.49,42,69059.56,70.57,2023-01-01
B338,baseline,71.72,31,49895.52,53.23,2023-01-01
B228,baseline,73.06,42,56429.97,56.91,2023-01-01
B392,baseline,71.66,36,75242.71,48.94,2023-01-01
B208,baseline,64.02,45,66280.19,70.04,2023-01-01
B169,baseline,71.81,32,41303.38,59.64,2023-01-01
B363,baseline,77.82,146,245180.53,57.01,2023-01-01
B190,baseline,70.46,113,120978.74,74.78,2023-01-01
B161,baseline,67.41,138,219676.21,54.98,2023-01-01
B180,baseline,74.58,54,82468.08,60.97,2023-01-01
B273,baseline,74.84,51,86273.52,45.36,2023-01-01
B020,baseline,71.48,57,101393.67,56.57,2023-01-01
B197,baseline,65.99,105,189098.85,61.75,2023-01-01
B095,baseline,71.29,80,97900.63,40.81,2023-01-01
B006,baseline,69.87,111,198283.33,84.63,2023-01-01
B264,baseline,69.04,112,219193.71,71.43,2023-01-01
B029,baseline,73.76,49,114163.06,45.98,2023-01-01
B222,baseline,72.93,37,111812.74,50.09,2023-01-01
B023,baseline,67.17,124,156513.0,60.69,2023-01-01
B292,baseline,64.69,132,224924.01,52.17,2023-01-01
B015,baseline,68.39,52,98814.59,73.07,2023-01-01
B302,baseline,61.96,39,85330.82,62.6,2023-01-01
B005,baseline,73.91,56,107603.04,62.97,2023-01-01
B025,baseline,71.25,55,91114.02,62.93,2023-01-01
B072,baseline,66.43,74,101617.8,66.57,2023-01-01
B077,baseline,65.13,71,141226.99,69.63,2023-01-01
B022,baseline,72.06,99,151326.17,52.46,2023-01-01
B046,baseline,65.55,130,169442.95,60.13,2023-01-01
B073,baseline,77.27,49,87322.41,51.43,2023-01-01
B080,baseline,64.65,72,106430.34,64.73,2023-01-01
B319,baseline,69.64,44,74817.32,68.56,2023-01-01
B364,baseline,71.07,44,45625.76,51.16,2023-01-01
B100,baseline,70.77,28,61725.36,65.61,2023-01-01
B094,baseline,75.42,32,67932.42,65.15,2023-01-01
B119,baseline,72.57,44,79526.72,71.36,2023-01-01
B258,baseline,74.77,25,34181.89,52.27,2023-01-01
B053,baseline,68.82,31,70754.9,41.33,2023-01-01
B289,baseline,73.43,105,185290.42,55.28,2023-01-01
B209,baseline,75.44,109,185939.85,66.8,2023-01-01
B067,baseline,66.35,108,229842.87,81.44,2023-01-01
B376,baseline,73.17,68,102774.25,68.52,2023-01-01
B234,baseline,66.04,46,63399.42,48.0,2023-01-01
B261,baseline,68.33,19,54082.55,64.05,2023-01-01
B324,baseline,63.7,19,34428.22,44.81,2023-01-01
B322,baseline,67.58,39,75353.14,67.75,2023-01-01
B345,baseline,65.37,20,33202.22,57.47,2023-01-01
B240,baseline,63.76,20,33232.42,61.31,2023-01-01
B163,baseline,77.21,37,50389.72,50.18,2023-01-01
B306,baseline,72.31,17,43957.85,56.15,2023-01-01
B109,baseline,70.57,30,58534.22,81.33,2023-01-01
B160,baseline,60.24,45,57889.26,53.77,2023-01-01
B110,baseline,68.96,22,26468.46,54.11,2023-01-01
B344,baseline,74.25,17,45206.49,63.07,2023-01-01
B131,baseline,74.06,33,68690.5,67.47,2023-01-01
B223,baseline,73.05,38,72730.24,57.98,2023-01-01
B007,baseline,68.91,37,63085.96,73.05,2023-01-01
B105,baseline,70.11,141,258257.33,58.7,2023-01-01
B226,baseline,70.48,135,237263.4,49.94,2023-01-01
B016,baseline,63.93,114,199312.44,66.28,2023-01-01
B051,baseline,69.94,32,66429.76,69.75,2023-01-01
B265,baseline,69.26,44,84047.96,54.36,2023-01-01
B201,baseline,65.89,44,98536.79,55.29,2023-01-01
B009,baseline,71.16,83,128839.62,57.87,2023-01-01
